metric,1,2,3,4,5,6,7,8,9
Final Accuracy,0.8233333333333334,0.7826666666666667,0.7976666666666666,0.782,0.8433333333333334,0.8193333333333332,0.825,0.825,0.8363333333333334
Validity Rate,0.8233333333333334,0.7926666666666667,0.7976666666666666,0.8103333333333332,0.855,0.8426666666666667,0.8516666666666667,0.8466666666666666,0.8413333333333333
Coherence Score,0.888,0.8919999999999999,0.8836666666666666,0.8833333333333333,0.8966666666666666,0.859,0.8653333333333334,0.8593333333333334,0.9063333333333333
Robustness Consistency,0.831,0.8556666666666666,0.86,0.85,0.8640000000000001,0.8366666666666667,0.8403333333333334,0.8296666666666667,0.887
Calibration Confidence,0.7643333333333333,0.7973333333333333,0.7989999999999999,0.7773333333333333,0.8113333333333334,0.776,0.7773333333333333,0.764,0.8260000000000001
Correctness,0.8333333333333334,0.7976666666666666,0.8143333333333334,0.7986666666666667,0.8433333333333334,0.8226666666666667,0.825,0.8383333333333333,0.8496666666666666
Efficiency,0.8733333333333333,0.8833333333333333,0.8733333333333333,0.8766666666666667,0.8966666666666666,0.8633333333333333,0.8833333333333333,0.8510000000000001,0.901
Clarity,0.879,0.887,0.8806666666666667,0.8733333333333333,0.9019999999999999,0.8666666666666667,0.869,0.8516666666666667,0.9083333333333333
Accuracy,0.8366666666666667,0.8320000000000001,0.8203333333333334,0.8313333333333334,0.8623333333333334,0.827,0.7976666666666666,0.8366666666666667,0.8796666666666667
Pass Rate,0.8173333333333334,0.776,0.7926666666666667,0.7786666666666666,0.8366666666666667,0.821,0.825,0.8233333333333334,0.8313333333333334
Stepwise Correctness,0.8426666666666667,0.801,0.8326666666666667,0.7986666666666667,0.8383333333333333,0.84,0.827,0.8226666666666667,0.8416666666666667
Redundancy,0.25366666666666665,0.26166666666666666,0.2506666666666667,0.25766666666666665,0.26366666666666666,0.28966666666666663,0.29,0.257,0.276
Comp Efficiency,0.8666666666666667,0.8776666666666667,0.8706666666666667,0.875,0.8956666666666667,0.86,0.8806666666666667,0.85,0.901
Similarity,0.8403333333333334,0.8586666666666666,0.8613333333333333,0.8426666666666667,0.8716666666666666,0.8393333333333334,0.821,0.8383333333333333,0.894
