metric,1,2,3,4,5,6,7,8,9
Final Accuracy,0.83,0.76,0.7333333333333333,0.795,0.73,0.81,0.8566666666666667,0.8316666666666667,0.8620689655172413
Validity Rate,0.9133333333333333,0.8466666666666666,0.7916666666666666,0.8666666666666667,0.8316666666666667,0.8676666666666667,0.929,0.9133333333333333,0.9086206896551725
Coherence Score,0.8866666666666667,0.852,0.8113333333333334,0.858,0.8406666666666667,0.8563333333333334,0.8826666666666667,0.8693333333333333,0.8741379310344828
Robustness Consistency,0.8496666666666667,0.791,0.732,0.8096666666666666,0.785,0.7706666666666667,0.8363333333333334,0.7959999999999999,0.8417241379310345
Calibration Confidence,0.7293333333333333,0.6656666666666666,0.648,0.7163333333333334,0.6863333333333334,0.6936666666666667,0.732,0.711,0.7544827586206896
Correctness,0.862,0.8006666666666666,0.735,0.8290000000000001,0.749,0.8236666666666667,0.8753333333333334,0.8406666666666667,0.8744827586206896
Efficiency,0.77,0.7366666666666667,0.7073333333333333,0.7390000000000001,0.7386666666666667,0.756,0.7716666666666666,0.7613333333333333,0.773448275862069
Clarity,0.8476666666666667,0.824,0.7996666666666667,0.834,0.8350000000000001,0.8313333333333334,0.8693333333333333,0.8533333333333334,0.8672413793103447
Accuracy,0.8546666666666667,0.784,0.7326666666666667,0.8350000000000001,0.7556666666666667,0.85,0.8813333333333334,0.8673333333333333,0.8858620689655173
Pass Rate,0.7966666666666666,0.7266666666666667,0.7,0.7616666666666667,0.6966666666666667,0.7766666666666667,0.8233333333333334,0.7983333333333333,0.8258620689655172
Stepwise Correctness,0.8466666666666666,0.781,0.7263333333333333,0.8200000000000001,0.7816666666666666,0.8123333333333334,0.8956666666666667,0.8510000000000001,0.8734482758620689
Redundancy,0.365,0.4103333333333333,0.435,0.43166666666666664,0.484,0.45733333333333337,0.4453333333333333,0.42533333333333334,0.4262068965517241
Comp Efficiency,0.8079310344827586,0.7831034482758621,0.7420689655172413,0.7924137931034483,0.7655172413793103,0.7955172413793103,0.8131034482758621,0.8024137931034483,0.8107142857142857
Similarity,0.8216666666666667,0.786,0.768,0.8183333333333334,0.8126666666666666,0.8243333333333334,0.8816666666666666,0.836,0.8637931034482759
