Question_num,hint_num,metric,score
1,1,Accuracy,0.92
1,1,Calibration Confidence,0.85
1,1,Clarity,0.88
1,1,Coherence Score,0.95
1,1,Comp Efficiency,0.6
1,1,Correctness,0.92
1,1,Efficiency,0.7
1,1,Final Accuracy,1.0
1,1,Pass Rate,1.0
1,1,Redundancy,0.6
1,1,Robustness Consistency,0.9
1,1,Similarity,0.9
1,1,Stepwise Correctness,0.9
1,1,Validity Rate,1.0
1,2,Accuracy,0.9
1,2,Calibration Confidence,0.8
1,2,Clarity,0.85
1,2,Coherence Score,0.94
1,2,Comp Efficiency,0.62
1,2,Correctness,0.9
1,2,Efficiency,0.75
1,2,Final Accuracy,1.0
1,2,Pass Rate,1.0
1,2,Redundancy,0.58
1,2,Robustness Consistency,0.92
1,2,Similarity,0.88
1,2,Stepwise Correctness,0.88
1,2,Validity Rate,1.0
1,3,Accuracy,0.91
1,3,Calibration Confidence,0.83
1,3,Clarity,0.87
1,3,Coherence Score,0.96
1,3,Comp Efficiency,0.65
1,3,Correctness,0.91
1,3,Efficiency,0.72
1,3,Final Accuracy,1.0
1,3,Pass Rate,1.0
1,3,Redundancy,0.55
1,3,Robustness Consistency,0.93
1,3,Similarity,0.89
1,3,Stepwise Correctness,0.89
1,3,Validity Rate,1.0
1,4,Accuracy,0.88
1,4,Calibration Confidence,0.78
1,4,Clarity,0.75
1,4,Coherence Score,0.9
1,4,Comp Efficiency,0.55
1,4,Correctness,0.88
1,4,Efficiency,0.6
1,4,Final Accuracy,1.0
1,4,Pass Rate,1.0
1,4,Redundancy,0.8
1,4,Robustness Consistency,0.85
1,4,Similarity,0.85
1,4,Stepwise Correctness,0.85
1,4,Validity Rate,1.0
1,5,Accuracy,0.9
1,5,Calibration Confidence,0.82
1,5,Clarity,0.86
1,5,Coherence Score,0.95
1,5,Comp Efficiency,0.63
1,5,Correctness,0.9
1,5,Efficiency,0.73
1,5,Final Accuracy,1.0
1,5,Pass Rate,1.0
1,5,Redundancy,0.57
1,5,Robustness Consistency,0.91
1,5,Similarity,0.88
1,5,Stepwise Correctness,0.87
1,5,Validity Rate,1.0
1,6,Accuracy,0.2
1,6,Calibration Confidence,0.3
1,6,Clarity,0.65
1,6,Coherence Score,0.8
1,6,Comp Efficiency,0.3
1,6,Correctness,0.2
1,6,Efficiency,0.4
1,6,Final Accuracy,0.0
1,6,Pass Rate,0.0
1,6,Redundancy,0.75
1,6,Robustness Consistency,0.5
1,6,Similarity,0.5
1,6,Stepwise Correctness,0.3
1,6,Validity Rate,1.0
1,7,Accuracy,0.9
1,7,Calibration Confidence,0.81
1,7,Clarity,0.85
1,7,Coherence Score,0.94
1,7,Comp Efficiency,0.62
1,7,Correctness,0.9
1,7,Efficiency,0.74
1,7,Final Accuracy,1.0
1,7,Pass Rate,1.0
1,7,Redundancy,0.58
1,7,Robustness Consistency,0.92
1,7,Similarity,0.88
1,7,Stepwise Correctness,0.88
1,7,Validity Rate,1.0
1,8,Accuracy,0.3
1,8,Calibration Confidence,0.4
1,8,Clarity,0.7
1,8,Coherence Score,0.85
1,8,Comp Efficiency,0.6
1,8,Correctness,0.3
1,8,Efficiency,0.6
1,8,Final Accuracy,0.0
1,8,Pass Rate,0.0
1,8,Redundancy,0.7
1,8,Robustness Consistency,0.6
1,8,Similarity,0.4
1,8,Stepwise Correctness,0.35
1,8,Validity Rate,1.0
1,9,Accuracy,0.92
1,9,Calibration Confidence,0.84
1,9,Clarity,0.88
1,9,Coherence Score,0.96
1,9,Comp Efficiency,0.64
1,9,Correctness,0.92
1,9,Efficiency,0.75
1,9,Final Accuracy,1.0
1,9,Pass Rate,1.0
1,9,Redundancy,0.56
1,9,Robustness Consistency,0.93
1,9,Similarity,0.9
1,9,Stepwise Correctness,0.9
1,9,Validity Rate,1.0
2,1,Accuracy,0.92
2,1,Calibration Confidence,0.85
2,1,Clarity,0.9
2,1,Coherence Score,0.95
2,1,Comp Efficiency,0.65
2,1,Correctness,0.92
2,1,Efficiency,0.75
2,1,Final Accuracy,1.0
2,1,Pass Rate,1.0
2,1,Redundancy,0.6
2,1,Robustness Consistency,0.92
2,1,Similarity,0.9
2,1,Stepwise Correctness,0.9
2,1,Validity Rate,1.0
2,2,Accuracy,0.92
2,2,Calibration Confidence,0.85
2,2,Clarity,0.9
2,2,Coherence Score,0.95
2,2,Comp Efficiency,0.65
2,2,Correctness,0.92
2,2,Efficiency,0.75
2,2,Final Accuracy,1.0
2,2,Pass Rate,1.0
2,2,Redundancy,0.6
2,2,Robustness Consistency,0.92
2,2,Similarity,0.9
2,2,Stepwise Correctness,0.9
2,2,Validity Rate,1.0
2,3,Accuracy,0.92
2,3,Calibration Confidence,0.86
2,3,Clarity,0.9
2,3,Coherence Score,0.95
2,3,Comp Efficiency,0.65
2,3,Correctness,0.92
2,3,Efficiency,0.75
2,3,Final Accuracy,1.0
2,3,Pass Rate,1.0
2,3,Redundancy,0.6
2,3,Robustness Consistency,0.93
2,3,Similarity,0.9
2,3,Stepwise Correctness,0.9
2,3,Validity Rate,1.0
2,4,Accuracy,0.92
2,4,Calibration Confidence,0.8
2,4,Clarity,0.88
2,4,Coherence Score,0.94
2,4,Comp Efficiency,0.6
2,4,Correctness,0.92
2,4,Efficiency,0.7
2,4,Final Accuracy,1.0
2,4,Pass Rate,1.0
2,4,Redundancy,0.7
2,4,Robustness Consistency,0.9
2,4,Similarity,0.9
2,4,Stepwise Correctness,0.9
2,4,Validity Rate,1.0
2,5,Accuracy,0.92
2,5,Calibration Confidence,0.84
2,5,Clarity,0.9
2,5,Coherence Score,0.95
2,5,Comp Efficiency,0.65
2,5,Correctness,0.92
2,5,Efficiency,0.75
2,5,Final Accuracy,1.0
2,5,Pass Rate,1.0
2,5,Redundancy,0.6
2,5,Robustness Consistency,0.91
2,5,Similarity,0.9
2,5,Stepwise Correctness,0.9
2,5,Validity Rate,1.0
2,6,Accuracy,0.92
2,6,Calibration Confidence,0.85
2,6,Clarity,0.9
2,6,Coherence Score,0.93
2,6,Comp Efficiency,0.65
2,6,Correctness,0.92
2,6,Efficiency,0.75
2,6,Final Accuracy,1.0
2,6,Pass Rate,1.0
2,6,Redundancy,0.6
2,6,Robustness Consistency,0.92
2,6,Similarity,0.9
2,6,Stepwise Correctness,0.9
2,6,Validity Rate,1.0
2,7,Accuracy,0.92
2,7,Calibration Confidence,0.75
2,7,Clarity,0.8
2,7,Coherence Score,0.9
2,7,Comp Efficiency,0.6
2,7,Correctness,0.92
2,7,Efficiency,0.65
2,7,Final Accuracy,1.0
2,7,Pass Rate,1.0
2,7,Redundancy,0.75
2,7,Robustness Consistency,0.85
2,7,Similarity,0.85
2,7,Stepwise Correctness,0.85
2,7,Validity Rate,1.0
2,8,Accuracy,0.92
2,8,Calibration Confidence,0.78
2,8,Clarity,0.85
2,8,Coherence Score,0.92
2,8,Comp Efficiency,0.6
2,8,Correctness,0.92
2,8,Efficiency,0.7
2,8,Final Accuracy,1.0
2,8,Pass Rate,1.0
2,8,Redundancy,0.7
2,8,Robustness Consistency,0.88
2,8,Similarity,0.88
2,8,Stepwise Correctness,0.88
2,8,Validity Rate,1.0
2,9,Accuracy,0.92
2,9,Calibration Confidence,0.87
2,9,Clarity,0.92
2,9,Coherence Score,0.96
2,9,Comp Efficiency,0.65
2,9,Correctness,0.92
2,9,Efficiency,0.75
2,9,Final Accuracy,1.0
2,9,Pass Rate,1.0
2,9,Redundancy,0.6
